fiche_id,url,nom_complet,naissance_date,naissance_commune,naissance_dept,deces_date,deces_commune,deces_dept,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,est_gaulliste,suppleant_de,a_eu_suppleant
4155,https://www2.assemblee-nationale.fr/sycomore/fiche/4155,Pierre-Charles Krieg,18 janvier 1922,Lille,Nord,6 juin 1998,Paris,Paris,Cinquième République - Assemblée nationale,VIe législature,19 mars 1978,22 mai 1981,Paris,,Rassemblement pour la République,,FALSE,,
4155,https://www2.assemblee-nationale.fr/sycomore/fiche/4155,Pierre-Charles Krieg,18 janvier 1922,Lille,Nord,6 juin 1998,Paris,Paris,Cinquième République - Assemblée nationale,VIIe législature,2 juillet 1981,1 avril 1986,Paris,,Rassemblement pour la République,,FALSE,,
4157,https://www2.assemblee-nationale.fr/sycomore/fiche/4157,Alfred Krieger,5 mars 1903,Pfaffenhoffen,,25 novembre 1957,Metz,Moselle,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,10 juin 1946,Moselle,,Résistance démocratique et socialiste,,FALSE,,
4157,https://www2.assemblee-nationale.fr/sycomore/fiche/4157,Alfred Krieger,5 mars 1903,Pfaffenhoffen,,25 novembre 1957,Metz,Moselle,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,2 juin 1946,27 novembre 1946,Moselle,,Démocratique et socialiste de la Résistance,,FALSE,,
4157,https://www2.assemblee-nationale.fr/sycomore/fiche/4157,Alfred Krieger,5 mars 1903,Pfaffenhoffen,,25 novembre 1957,Metz,Moselle,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Moselle,,Union démocratique et socialiste de la Résistance,,FALSE,,
4157,https://www2.assemblee-nationale.fr/sycomore/fiche/4157,Alfred Krieger,5 mars 1903,Pfaffenhoffen,,25 novembre 1957,Metz,Moselle,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Moselle,,Rassemblement du peuple français,RPF,TRUE,,
4158,https://www2.assemblee-nationale.fr/sycomore/fiche/4158,Charles Kroepflé,13 mars 1913,Saint-louis,,1 octobre 1989,Bollwiller,Haut,Cinquième République - Assemblée nationale,IIe législature,18 novembre 1962,2 avril 1967,Haut-Rhin,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
4160,https://www2.assemblee-nationale.fr/sycomore/fiche/4160,René Kuehn,8 janvier 1910,Ammerschwhir,,22 juillet 1995,Colmar,Haut,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Haut-Rhin,,Union démocratique et socialiste de la Résistance,,FALSE,,
4160,https://www2.assemblee-nationale.fr/sycomore/fiche/4160,René Kuehn,8 janvier 1910,Ammerschwhir,,22 juillet 1995,Colmar,Haut,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Haut-Rhin,,Rassemblement du peuple français - ARS,RPF,TRUE,,
4176,https://www2.assemblee-nationale.fr/sycomore/fiche/4176,René La Combe,18 avril 1915,Combrée,Maine,25 février 1994,Saint-germain-des-prés,Maine,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,9 octobre 1962,Maine-et-Loire,,Union pour la nouvelle République,UNR,TRUE,,
4176,https://www2.assemblee-nationale.fr/sycomore/fiche/4176,René La Combe,18 avril 1915,Combrée,Maine,25 février 1994,Saint-germain-des-prés,Maine,Cinquième République - Assemblée nationale,IIe législature,18 novembre 1962,2 avril 1967,Maine-et-Loire,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
4176,https://www2.assemblee-nationale.fr/sycomore/fiche/4176,René La Combe,18 avril 1915,Combrée,Maine,25 février 1994,Saint-germain-des-prés,Maine,Cinquième République - Assemblée nationale,IIIe législature,5 mars 1967,30 mai 1968,Maine-et-Loire,,Union démocratique pour la V° République,UD-Ve,TRUE,,
4176,https://www2.assemblee-nationale.fr/sycomore/fiche/4176,René La Combe,18 avril 1915,Combrée,Maine,25 février 1994,Saint-germain-des-prés,Maine,Cinquième République - Assemblée nationale,IVe législature,23 juin 1968,1 avril 1973,Maine-et-Loire,,Union des démocrates pour la République,UDR,TRUE,,
4176,https://www2.assemblee-nationale.fr/sycomore/fiche/4176,René La Combe,18 avril 1915,Combrée,Maine,25 février 1994,Saint-germain-des-prés,Maine,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Maine-et-Loire,,Union des démocrates pour la République,UDR,TRUE,,
4176,https://www2.assemblee-nationale.fr/sycomore/fiche/4176,René La Combe,18 avril 1915,Combrée,Maine,25 février 1994,Saint-germain-des-prés,Maine,Cinquième République - Assemblée nationale,VIe législature,12 mars 1978,22 mai 1981,Maine-et-Loire,,Rassemblement pour la République,,FALSE,,
4176,https://www2.assemblee-nationale.fr/sycomore/fiche/4176,René La Combe,18 avril 1915,Combrée,Maine,25 février 1994,Saint-germain-des-prés,Maine,Cinquième République - Assemblée nationale,VIIe législature,2 juillet 1981,1 avril 1986,Maine-et-Loire,,Rassemblement pour la République,,FALSE,,
4200,https://www2.assemblee-nationale.fr/sycomore/fiche/4200,Claude Labbé,27 janvier 1920,Argenteuil,,29 novembre 1993,Marseille,Bouches,Cinquième République - Assemblée nationale,Ire législature,9 décembre 1958,9 octobre 1962,Seine-et-Oise,,Union pour la nouvelle République,UNR,TRUE,,
4200,https://www2.assemblee-nationale.fr/sycomore/fiche/4200,Claude Labbé,27 janvier 1920,Argenteuil,,29 novembre 1993,Marseille,Bouches,Cinquième République - Assemblée nationale,IIIe législature,3 avril 1967,30 mai 1968,Hauts-de-Seine,,Union démocratique pour la V° République,UD-Ve,TRUE,,
4200,https://www2.assemblee-nationale.fr/sycomore/fiche/4200,Claude Labbé,27 janvier 1920,Argenteuil,,29 novembre 1993,Marseille,Bouches,Cinquième République - Assemblée nationale,IVe législature,11 juillet 1968,1 avril 1973,Hauts-de-Seine,,Union des démocrates pour la République,UDR,TRUE,,
4200,https://www2.assemblee-nationale.fr/sycomore/fiche/4200,Claude Labbé,27 janvier 1920,Argenteuil,,29 novembre 1993,Marseille,Bouches,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Hauts-de-Seine,,Union des démocrates pour la République,UDR,TRUE,,
4200,https://www2.assemblee-nationale.fr/sycomore/fiche/4200,Claude Labbé,27 janvier 1920,Argenteuil,,29 novembre 1993,Marseille,Bouches,Cinquième République - Assemblée nationale,VIe législature,3 avril 1978,22 mai 1981,Hauts-de-Seine,,Rassemblement pour la République,,FALSE,,
4200,https://www2.assemblee-nationale.fr/sycomore/fiche/4200,Claude Labbé,27 janvier 1920,Argenteuil,,29 novembre 1993,Marseille,Bouches,Cinquième République - Assemblée nationale,VIIe législature,2 juillet 1981,1 avril 1986,Hauts-de-Seine,,Rassemblement pour la République,,FALSE,,
4200,https://www2.assemblee-nationale.fr/sycomore/fiche/4200,Claude Labbé,27 janvier 1920,Argenteuil,,29 novembre 1993,Marseille,Bouches,Cinquième République - Assemblée nationale,VIIIe législature,2 avril 1986,14 mai 1988,Hauts-de-Seine,,Rassemblement pour la République,,FALSE,,
4200,https://www2.assemblee-nationale.fr/sycomore/fiche/4200,Claude Labbé,27 janvier 1920,Argenteuil,,29 novembre 1993,Marseille,Bouches,Cinquième République - Assemblée nationale,IXe législature,13 juin 1988,1 avril 1993,Hauts-de-Seine,,Rassemblement pour la République,,FALSE,,
4212,https://www2.assemblee-nationale.fr/sycomore/fiche/4212,Henri Lacagne,27 décembre 1909,Saint-symphorien-de-marmagne,Saône,12 décembre 1993,Dijon,Côte,Cinquième République - Assemblée nationale,IVe législature,23 juin 1968,1 avril 1973,Saône-et-Loire,,Union des démocrates pour la République,UDR,TRUE,,
4212,https://www2.assemblee-nationale.fr/sycomore/fiche/4212,Henri Lacagne,27 décembre 1909,Saint-symphorien-de-marmagne,Saône,12 décembre 1993,Dijon,Côte,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Saône-et-Loire,,Union des démocrates pour la République,UDR,TRUE,,
