fiche_id,url,nom_complet,naissance_date,naissance_commune,naissance_dept,deces_date,deces_commune,deces_dept,chambre,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,est_gaulliste,suppleant_de,a_eu_suppleant
2022,https://www2.assemblee-nationale.fr/sycomore/fiche/2022,"Pierre, Guy Coulon",28 juin 1913,Paris,Seine,6 août 1967,Le pouliguen,Loire,Assemblée nationale,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,8 décembre 1958,Allier,,Indépendants et paysans d'action sociale,,FALSE,,
2022,https://www2.assemblee-nationale.fr/sycomore/fiche/2022,"Pierre, Guy Coulon",28 juin 1913,Paris,Seine,6 août 1967,Le pouliguen,Loire,Assemblée nationale,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,9 octobre 1962,Allier,,Indépendants et paysans d'action sociale,,FALSE,,
2024,https://www2.assemblee-nationale.fr/sycomore/fiche/2024,Jean Coumaros,1 juin 1907,Micra-valtsa,Grèce,25 avril 1991,Strasbourg,Bas,Assemblée nationale,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,9 octobre 1962,Moselle,,Union pour la nouvelle République,UNR,TRUE,,
2024,https://www2.assemblee-nationale.fr/sycomore/fiche/2024,Jean Coumaros,1 juin 1907,Micra-valtsa,Grèce,25 avril 1991,Strasbourg,Bas,Assemblée nationale,Cinquième République - Assemblée nationale,IIe législature,18 novembre 1962,2 avril 1967,Moselle,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
2024,https://www2.assemblee-nationale.fr/sycomore/fiche/2024,Jean Coumaros,1 juin 1907,Micra-valtsa,Grèce,25 avril 1991,Strasbourg,Bas,Assemblée nationale,Cinquième République - Assemblée nationale,IIIe législature,12 mars 1967,30 mai 1968,Moselle,,Union démocratique pour la V° République,UD-Ve,TRUE,,
2024,https://www2.assemblee-nationale.fr/sycomore/fiche/2024,Jean Coumaros,1 juin 1907,Micra-valtsa,Grèce,25 avril 1991,Strasbourg,Bas,Assemblée nationale,Cinquième République - Assemblée nationale,IVe législature,30 juin 1968,1 avril 1973,Moselle,,Union des démocrates pour la République,UDR,TRUE,,
2026,https://www2.assemblee-nationale.fr/sycomore/fiche/2026,Pierre Courant,12 septembre 1897,Le havre,Seine,22 mars 1965,Le havre,Seine,Assemblée nationale constituante,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,10 juin 1946,Seine-Inférieure,,Républicains indépendants,,FALSE,,
2026,https://www2.assemblee-nationale.fr/sycomore/fiche/2026,Pierre Courant,12 septembre 1897,Le havre,Seine,22 mars 1965,Le havre,Seine,Assemblée nationale constituante,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,2 juin 1946,27 novembre 1946,Seine-Inférieure,,Républicains indépendants,,FALSE,,
2026,https://www2.assemblee-nationale.fr/sycomore/fiche/2026,Pierre Courant,12 septembre 1897,Le havre,Seine,22 mars 1965,Le havre,Seine,Assemblée nationale,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Seine-Inférieure,,Républicains indépendants,,FALSE,,
2026,https://www2.assemblee-nationale.fr/sycomore/fiche/2026,Pierre Courant,12 septembre 1897,Le havre,Seine,22 mars 1965,Le havre,Seine,Assemblée nationale,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Seine-Maritime,,Républicains indépendants,,FALSE,,
2026,https://www2.assemblee-nationale.fr/sycomore/fiche/2026,Pierre Courant,12 septembre 1897,Le havre,Seine,22 mars 1965,Le havre,Seine,Assemblée nationale,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,8 décembre 1958,Seine-Maritime,,Indépendants et paysans d'action sociale,,FALSE,,
