elite_id,source_system,source_record_id,career_source_row,position,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,is_gaulliste,status,suppleant_de,a_eu_suppleant,source_url
FR_ELITE_001071,SYCOMORE,7323,1,Député,Cinquième République - Assemblée nationale,IIe législature,1966-02-09,1967-04-02,Paris,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7323
FR_ELITE_001072,SYCOMORE,3449,1,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-23,1973-04-01,Haut-Rhin,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3449
FR_ELITE_001072,SYCOMORE,3449,2,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1978-04-02,Haut-Rhin,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3449
FR_ELITE_001072,SYCOMORE,3449,3,Député,Cinquième République - Assemblée nationale,VIe législature,1978-03-19,1981-05-22,Haut-Rhin,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3449
FR_ELITE_001072,SYCOMORE,3449,4,Député,Cinquième République - Assemblée nationale,VIIe législature,1981-07-02,1986-04-01,Haut-Rhin,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3449
FR_ELITE_001077,SYCOMORE,3781,1,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-30,1973-04-01,Guadeloupe,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3781
FR_ELITE_001077,SYCOMORE,3781,2,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1973-10-25,Guadeloupe,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3781
FR_ELITE_001080,SYCOMORE,1935,1,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Loir-et-Cher,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/1935
FR_ELITE_001080,SYCOMORE,1935,2,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-25,1967-04-02,Paris,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/1935
FR_ELITE_001083,SYCOMORE,2268,1,Député,Cinquième République - Assemblée nationale,IIe législature,1962-12-06,1967-04-02,Seine-Maritime,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2268
